properties_coddep,properties_codtypbien,properties_anneemut,properties_valeurfonc,properties_sterr,properties_sbati,id
03,122,2022,1344790.0,11221.0,2342.0,18
03,122,2023,2170451.0,53622.0,3405.0,25
03,131,2014,725550.0,263381.0,0.0,27
03,131,2015,186320.0,12690.0,0.0,17
03,131,2016,310691.0,23884.0,0.0,26
03,131,2017,474176.0,150310.0,0.0,29
03,131,2018,342600.0,130284.0,0.0,17
03,131,2019,486100.0,55909.0,0.0,26
03,131,2020,349970.0,34788.0,0.0,21
03,131,2021,634322.0,108971.0,0.0,34
03,131,2022,842902.28,47206.0,0.0,32
03,131,2023,891802.0,65440.0,0.0,35
03,132,2014,66000.0,1794.0,0.0,5
03,132,2015,38000.0,334.0,0.0,2
03,132,2016,53000.0,2353.0,0.0,3
03,132,2017,29000.0,493.0,0.0,2
03,132,2018,106700.0,7862.0,0.0,3
